B006OU39QW,Samsung,4,248,$109.99,[u'109']
B0147LDSG0,Samsung,4,157,$198.94,[u'198']
B01CJU9126,Samsung,3.9,303,$319.99,[u'319']
B01GXAT0CE,Apple,3.9,742,$114.99,[u'114']
B01MDMJGYT,Motorola,4.1,150,$189.00,[u'189']
B0728HMXFD,Apple,4,306,"$279.55,$399.99","[u'279', u'399']"
B072ZWCKP5,Motorola,4.2,328,$198.98,[u'198']
B0731JJCRZ,Apple,4.1,165,$152.00,[u'152']
B0731XJ4FB,Samsung,3.9,109,$188.95,[u'188']
B0733FPPDG,Samsung,3.9,219,$199.00,[u'199']
B07536MYBQ,Samsung,3.9,499,"$450.99,$899.99","[u'450', u'899']"
B0766GHWM6,Google,3.9,128,$373.99,[u'373']
B0766HPGYP,Google,3.9,128,$393.99,[u'393']
B076XLLCQC,Samsung,4,650,$309.10,[u'309']
B07752FPVQ,Apple,4.1,444,$479.99,[u'479']
B0775FLHPN,Apple,4.1,444,$465.00,[u'465']
B077WSVG4Z,Google,4.2,127,$369.99,[u'369']
B078JR6L2S,Samsung,4.1,104,$359.00,[u'359']
B078YWG75M,Samsung,4.3,144,$269.99,[u'269']
B079C1K282,Google,4.1,385,$250.00,[u'250']
B079Z792J7,Motorola,3.9,697,"$189.99,$249.99","[u'189', u'249']"
B07B81WJRQ,Sony,4,131,$459.00,[u'459']
B07BBT5MMD,Samsung,4.2,106,"$332.99,$449.99","[u'332', u'449']"
B07BFCFDXG,Samsung,4.2,225,$349.99,[u'349']
B07C65VV3R,Samsung,4,610,$359.47,[u'359']
B07C65XFBB,Samsung,3.9,640,$328.99,[u'328']
B07FMPVBQR,Xiaomi,4.2,370,$160.00,[u'160']
B07FS3RNFJ,Samsung,4,131,$159.72,[u'159']
B07G7JQCNX,Xiaomi,3.9,120,$152.49,[u'152']
B07GCBWWPL,Samsung,4.4,163,"$639.50,$849.99","[u'639', u'849']"
B07H8Q3C9T,Samsung,4.1,136,$92.00,[u'92']
B07HFHX6HX,Samsung,4.2,334,$314.99,[u'314']
B07HK4JNV1,Xiaomi,4.3,393,$172.49,[u'172']
B07HKPMFZ5,Google,4,132,$425.00,[u'425']
B07J4Z9647,HUAWEI,4.4,327,"$193.99,$299.99","[u'193', u'299']"
B07K1M36CM,HUAWEI,4.6,142,$540.00,[u'540']
B07KNB1TN8,Samsung,4,494,$452.92,[u'452']
B07KYGHQ1X,Motorola,4.2,166,"$274.25,$349.99","[u'274', u'349']"
B07L14D7F7,HUAWEI,4.4,347,$172.44,[u'172']
B07L4WRXXT,HUAWEI,4.3,298,$179.99,[u'179']
B07MF3JM4T,Motorola,3.9,119,"$167.99,$249.99","[u'167', u'249']"
B07N4M412B,Samsung,4,750,"$799.99,$899.99","[u'799', u'899']"
B07N91S9MW,Motorola,4,178,"$249.99,$299.99","[u'249', u'299']"
B07NPRQYP1,Motorola,4,316,"$192.99,$299.99","[u'192', u'299']"
B07NYBD9DW,Motorola,4.2,166,$344.45,[u'344']
B07NZVM3RN,Samsung,4.4,124,$535.00,[u'535']
B07NZXXZB2,Samsung,4.3,203,$695.00,[u'695']
B07P6Y7954,Apple,4.3,368,"$618.95,$749.99","[u'618', u'749']"
B07P6Y8L3F,Apple,4.3,368,$579.99,[u'579']
B07PV68K73,Samsung,4.1,201,$242.00,[u'242']
B07PY52GVP,Xiaomi,4.4,385,$182.00,[u'182']
B07Q84DPZH,Samsung,4.1,516,"$133.50,$179.99","[u'133', u'179']"
